OFL_ISOLATE_ID,OFL_SEQUENCE_ID,NAME,TYPE,H5_CLADE,PASSAGE,COLLECT_DATE,HOST,LOCATION,NOTES,UPDATE_DATE,IS_PUBLIC
OFL_ISL_113848,HA: OFL484849,A/Bangkok/1544/2004,A / H1N1,,,2004-08-31,Human,Thailand / Changwat Phra Nakhon Si Ayutthaya,,,yes
OFL_ISL_23379,HA: OFL162498 / NA: OFL162495 / MP: OFL162499,A/Brisbane/59/2007,A / H1N1,,MDCKx,2007-07-01,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_23380,HA: OFL162496 / NA: OFL162497,A/Brisbane/59/2007,A / H1N1,,E2,2007-07-01,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_40354,HA: OFL210981 / HA: OFL487035 / HA: OFL285685 / HA: OFL218645 / NA: OFL218647 / NA: OFL210983 / MP: OFL218648 / MP: OFL210984 / NP: OFL218646 / NP: OFL210982 / NS: OFL218649 / NS: OFL210985 / PA: OFL218644 / PA: OFL210980 / PB1: OFL218643 / PB1: OFL210979,A/Brisbane/59/2007,A / H1N1,,,2007-07-01,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_77867,HA: OFL336852 / NA: OFL336853,A/Brisbane/59/2007,A / H1N1,,MDCK2,2007-07-01,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_15603,HA: OFL139098 / NA: OFL138907 / MP: OFL139038 / NP: OFL139010 / NS: OFL139077 / PA: OFL138978 / PB1: OFL138939 / PB2: OFL135094,A/Denmark/22/2005,A / H1N1,,,2005-00-00,Human,Denmark,,,yes
OFL_ISL_15929,HA: OFL139097 / NA: OFL138910,A/Denmark/3/2005,A / H1N1,,,2005-00-00,Human,Denmark,,,yes
OFL_ISL_15943,HA: OFL139107 / NA: OFL139454,A/Denmark/56/2003,A / H1N2,,,2003-00-00,Human,Denmark,,,yes
OFL_ISL_15605,HA: OFL139106 / NA: OFL139453 / MP: OFL139042 / NP: OFL139002 / NS: OFL139071 / PB1: OFL138934 / PB2: OFL135098,A/Denmark/86/2003,A / H1N2,,,2003-00-00,Human,Denmark,,,yes
OFL_ISL_2633,HA: OFL12587 / NA: OFL12685 / MP: OFL12759 / NP: OFL12751 / NS: OFL13084,A/Egypt/96/2002,A / H1N2,,,2002-00-00,Human,Egypt,,,yes
OFL_ISL_2666,HA: OFL12657 / NA: OFL12707 / MP: OFL12765 / NP: OFL12743 / NS: OFL13078,A/England/2/2002,A / H1N2,,,2002-00-00,Human,United Kingdom,,,yes
OFL_ISL_112231,HA: OFL482760,A/Finland/4/2007,A / H1N1,,,2007-00-00,Human,Finland,,,yes
OFL_ISL_6292,HA: OFL46103 / NA: OFL46105,A/Florida/4/2004,A / H1N1,,X1/C1,2004-12-20,Human,USA / Florida state,,,yes
OFL_ISL_115479,HA: OFL486916,A/Florida/4/2004,A / H1N1,,,2004-12-20,Human,USA / Florida state,,,yes
OFL_ISL_25443,HA: OFL173073 / NA: OFL166697,A/Fukushima/141/2006,A / H1N1,,Ex,2006-01-17,Human,Japan / Fukushima-shi,,,yes
OFL_ISL_41812,MP: OFL214682 / NP: OFL214681 / PA: OFL214680 / PB1: OFL214679 / PB2: OFL214678,A/Fukushima/141/2006,A / H1N1,,"EX,E6",2006-01-17,Human,Japan / Fukushima-shi,,,yes
