see .xlsx for sources,,,,,
Year,<6 mos,6mos-17yr,18-49,50-64,65+
1968,0,5,4,10,15
1969,0,5,4,10,15
1970,0,5,4,10,15
1971,0,5,4,10,15
1972,0,5,4,10,15
1973,0,5,4,10,15
1974,0,5,4,10,17
1975,0,5,4,10,20
1976,0,5,4,10,21
1977,0,5,4,10,38
1978,0,5,4,10,23
1979,0,5,4,10,22
1980,0,5,4,10,21
1981,0,5,4,10,21
1982,0,5,4,10,22
1983,0,5,4,10,22
1984,0,5,4,10,22
1985,0,5,4,10,22
1986,0,5,4,10,24
1987,0,5,4,10,27
1988,0,5,4,10,29
1989,0,5,3.4,10.6,30.4
1990,0,5,4,13,35
1991,0,5,6.1,15,41.7
1992,0,7,8,21,46
1993,0,8,10.2,23,52
1994,0,9,12.1,25.6,55.3
1995,0,10,13.1,27,58.2
1996,0,11,13.5,30,60
1997,0,12,14.3,31.9,63.2
1998,0,13,15.5,33.1,63.3
1999,0,14,16.4,34.1,65.7
2000,0,15,17.1,34.6,64.3
2001,0,16,17.1,32.1,63
2002,0,17,16.3,34,65.5
2003,0,18,16.8,36.8,65.5
2004,14,19,17.9,35.9,64.6
2005,17,20,10.4,22.9,59.6
2006,21,25,15.5,33.1,64.1
2007,25,31.1,21.65,39.8,69.35
2008,29,37,24.2,42.85,70.5
2009,41.2,43.7,29.9,45,69.6
2010,43,51,30.5,44.5,66.6
2011,44.3,51.5,30,45,68
2012,76.9,56.6,31.1,45.1,66.2
2013,74.3,58.9,32.3,45.3,65
2014,74.6,59.3,33.5,47,66.7
2015,75.3,59.3,31.5,43.6,63.4
2016,75,59,31,43,66
2017,75,59,31,43,66
