Country,Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
UnitedStates,1990,0,3986488,2039510,1946978,1.6,1.7,1.5,104.8
UnitedStates,1990,1,3798100,1943327,1854773,1.5,1.6,1.5,104.8
UnitedStates,1990,2,3712522,1900277,1812245,1.5,1.6,1.4,104.9
UnitedStates,1990,3,3660016,1872647,1787369,1.5,1.5,1.4,104.8
UnitedStates,1990,4,3699321,1893867,1805454,1.5,1.6,1.4,104.9
UnitedStates,1990,5,3681034,1884676,1796358,1.5,1.5,1.4,104.9
UnitedStates,1990,6,3563046,1823347,1739699,1.4,1.5,1.4,104.8
UnitedStates,1990,7,3644060,1864266,1779794,1.5,1.5,1.4,104.7
UnitedStates,1990,8,3510580,1796291,1714289,1.4,1.5,1.3,104.8
UnitedStates,1990,9,3678026,1885262,1792764,1.5,1.5,1.4,105.2
UnitedStates,1990,10,3705149,1900424,1804725,1.5,1.6,1.4,105.3
UnitedStates,1990,11,3481891,1783525,1698366,1.4,1.5,1.3,105
UnitedStates,1990,12,3380156,1729447,1650709,1.4,1.4,1.3,104.8
UnitedStates,1990,13,3385614,1732373,1653241,1.4,1.4,1.3,104.8
UnitedStates,1990,14,3260077,1671445,1588632,1.3,1.4,1.2,105.2
UnitedStates,1990,15,3342528,1716873,1625655,1.3,1.4,1.3,105.6
UnitedStates,1990,16,3287140,1691637,1595503,1.3,1.4,1.2,106
UnitedStates,1990,17,3439746,1772977,1666769,1.4,1.5,1.3,106.4
UnitedStates,1990,18,3601602,1844757,1756845,1.4,1.5,1.4,105
UnitedStates,1990,19,4100577,2089840,2010737,1.6,1.7,1.6,103.9
UnitedStates,1990,20,4048841,2067366,1981475,1.6,1.7,1.5,104.3
UnitedStates,1990,21,3837554,1961689,1875865,1.5,1.6,1.5,104.6
UnitedStates,1990,22,3673009,1874555,1798454,1.5,1.5,1.4,104.2
UnitedStates,1990,23,3710050,1885145,1824905,1.5,1.5,1.4,103.3
UnitedStates,1990,24,3880932,1965380,1915552,1.6,1.6,1.5,102.6
UnitedStates,1990,25,4070277,2054191,2016086,1.6,1.7,1.6,101.9
UnitedStates,1990,26,4195828,2106713,2089115,1.7,1.7,1.6,100.8
UnitedStates,1990,27,4291240,2155052,2136188,1.7,1.8,1.7,100.9
UnitedStates,1990,28,4147932,2077518,2070414,1.7,1.7,1.6,100.3
UnitedStates,1990,29,4571770,2288783,2282987,1.8,1.9,1.8,100.3
UnitedStates,1990,30,4512156,2252858,2259298,1.8,1.9,1.8,99.7
UnitedStates,1990,31,4349962,2165720,2184242,1.7,1.8,1.7,99.2
UnitedStates,1990,32,4380288,2179863,2200425,1.8,1.8,1.7,99.1
UnitedStates,1990,33,4356406,2161653,2194753,1.7,1.8,1.7,98.5
UnitedStates,1990,34,4339961,2161943,2178018,1.7,1.8,1.7,99.3
UnitedStates,1990,35,4274502,2126405,2148097,1.7,1.7,1.7,99
UnitedStates,1990,36,4073655,2017588,2056067,1.6,1.7,1.6,98.1
UnitedStates,1990,37,4000923,1979787,2021136,1.6,1.6,1.6,98
UnitedStates,1990,38,3705195,1831694,1873501,1.5,1.5,1.5,97.8
UnitedStates,1990,39,3936020,1953394,1982626,1.6,1.6,1.6,98.5
UnitedStates,1990,40,3797499,1878091,1919408,1.5,1.5,1.5,97.8
UnitedStates,1990,41,3634572,1790205,1844367,1.5,1.5,1.4,97.1
UnitedStates,1990,42,3621350,1785552,1835798,1.5,1.5,1.4,97.3
UnitedStates,1990,43,3845180,1894096,1951084,1.5,1.6,1.5,97.1
UnitedStates,1990,44,2894341,1431297,1463044,1.2,1.2,1.1,97.8
UnitedStates,1990,45,2903748,1429437,1474311,1.2,1.2,1.2,97
UnitedStates,1990,46,2823381,1385354,1438027,1.1,1.1,1.1,96.3
UnitedStates,1990,47,3001087,1470886,1530201,1.2,1.2,1.2,96.1
UnitedStates,1990,48,2500970,1220818,1280152,1,1,1,95.4
UnitedStates,1990,49,2599830,1275247,1324583,1,1,1,96.3
UnitedStates,1990,50,2432676,1187751,1244925,1,1,1,95.4
UnitedStates,1990,51,2313332,1126491,1186841,0.9,0.9,0.9,94.9
UnitedStates,1990,52,2265849,1100779,1165070,0.9,0.9,0.9,94.5
UnitedStates,1990,53,2171043,1050991,1120052,0.9,0.9,0.9,93.8
UnitedStates,1990,54,2194862,1060125,1134737,0.9,0.9,0.9,93.4
UnitedStates,1990,55,2165677,1041858,1123819,0.9,0.9,0.9,92.7
UnitedStates,1990,56,2060426,988682,1071744,0.8,0.8,0.8,92.2
UnitedStates,1990,57,2089003,997622,1091381,0.8,0.8,0.9,91.4
UnitedStates,1990,58,1976880,939497,1037383,0.8,0.8,0.8,90.6
UnitedStates,1990,59,2186173,1039204,1146969,0.9,0.9,0.9,90.6
UnitedStates,1990,60,2152047,1013060,1138987,0.9,0.8,0.9,88.9
UnitedStates,1990,61,2093993,984707,1109286,0.8,0.8,0.9,88.8
UnitedStates,1990,62,2142533,999908,1142625,0.9,0.8,0.9,87.5
UnitedStates,1990,63,2111084,981012,1130072,0.8,0.8,0.9,86.8
UnitedStates,1990,64,2123825,971684,1152141,0.9,0.8,0.9,84.3
UnitedStates,1990,65,2117112,959865,1157247,0.8,0.8,0.9,82.9
UnitedStates,1990,66,2056694,928350,1128344,0.8,0.8,0.9,82.3
UnitedStates,1990,67,2001182,897565,1103617,0.8,0.7,0.9,81.3
UnitedStates,1990,68,1962424,872759,1089665,0.8,0.7,0.9,80.1
UnitedStates,1990,69,1941511,855490,1086021,0.8,0.7,0.8,78.8
UnitedStates,1990,70,1781932,777743,1004189,0.7,0.6,0.8,77.4
