"","A","AN","AS","AG"
"rPro.H1_best",NA,0.34,0.29,0.67
"rPro.H1_low",NA,0.29,0.24,0.58
"rPro.H1_high",NA,0.42,0.35,0.78
"rPro.H3_best",NA,0.71,0.9,0.69
"rPro.H3_low",NA,0.62,0.78,0.6
"rPro.H3_high",NA,0.82,2,0.8
"r5.10_best",0.62,0.68,0.66,0.66
"r5.10_low",0.57,0.63,0.61,0.62
"r5.10_high",0.68,0.74,0.72,0.72
"r11.17_best",0.3,0.33,0.31,0.33
"r11.17_low",0.28,0.3,0.28,0.3
"r11.17_high",0.34,0.36,0.34,0.37
"r18.24_best",0.35,0.38,0.36,0.39
"r18.24_low",0.32,0.35,0.32,0.35
"r18.24_high",0.39,0.42,0.4,0.43
"r25.31_best",0.31,0.34,0.33,0.34
"r25.31_low",0.28,0.32,0.3,0.31
"r25.31_high",0.35,0.38,0.37,0.38
"r32.38_best",0.26,0.28,0.26,0.28
"r32.38_low",0.24,0.26,0.24,0.26
"r32.38_high",0.29,0.32,0.3,0.32
"r39.45_best",0.21,0.23,0.21,0.24
"r39.45_low",0.2,0.2,0.18,0.22
"r39.45_high",0.24,0.27,0.24,0.28
"r46.52_best",0.23,0.24,0.21,0.24
"r46.52_low",0.2,0.22,0.19,0.22
"r46.52_high",0.26,0.28,0.24,0.28
"r53.59_best",0.2,0.22,0.2,0.2
"r53.59_low",0.18,0.2,0.18,0.18
"r53.59_high",0.23,0.26,0.23,0.24
"r60.66_best",0.18,0.21,0.22,0.19
"r60.66_low",0.16,0.19,0.2,0.16
"r60.66_high",0.21,0.24,0.26,0.22
"r67.73_best",0.19,0.22,0.25,0.2
"r67.73_low",0.18,0.2,0.22,0.18
"r67.73_high",0.22,0.26,0.29,0.23
"r74.80_best",0.2,0.23,0.25,0.2
"r74.80_low",0.18,0.2,0.22,0.18
"r74.80_high",0.23,0.26,0.3,0.24
"r81.90p_best",0.13,0.15,0.17,0.13
"r81.90p_low",0.12,0.14,0.15,0.12
"r81.90p_high",0.15,0.18,0.2,0.16
