BirthYear,H1N1,H3N2,Flu B,Total
1908,0,1,0,1
1914,0,1,0,1
1917,0,3,0,3
1918,0,2,1,3
1920,1,4,0,5
1921,0,5,1,6
1922,0,3,2,5
1923,1,8,1,10
1924,0,6,1,7
1925,1,11,2,14
1926,3,8,3,14
1927,4,6,4,14
1928,0,13,5,18
1929,5,13,0,18
1930,5,18,4,27
1931,2,15,6,23
1932,2,13,4,19
1933,3,9,6,18
1934,8,24,3,35
1935,6,17,1,24
1936,5,19,3,27
1937,10,23,2,35
1938,11,14,4,29
1939,10,16,6,32
1940,12,29,4,45
1941,10,21,8,39
1942,12,21,6,39
1943,9,19,6,34
1944,13,18,7,38
1945,15,20,5,40
1946,17,23,8,48
1947,22,19,5,46
1948,20,20,5,45
1949,22,14,10,46
1950,22,11,8,41
1951,21,14,7,42
1952,16,12,8,36
1953,25,15,5,45
1954,30,11,4,45
1955,21,16,6,43
1956,23,17,6,46
1957,29,13,6,48
1958,23,8,10,41
1959,20,13,8,41
1960,27,10,5,42
1961,18,10,5,33
1962,13,8,6,27
1963,24,7,4,35
1964,16,7,7,30
1965,17,9,4,30
1966,22,7,2,31
1967,15,4,2,21
1968,26,8,9,43
1969,24,9,4,37
1970,15,6,1,22
1971,19,9,5,33
1972,18,9,3,30
1973,20,4,1,25
1974,12,6,7,25
1975,10,7,4,21
1976,14,5,4,23
1977,21,8,4,33
1978,13,7,4,24
1979,17,8,5,30
1980,17,2,5,24
1981,17,8,6,31
1982,15,8,5,28
1983,8,2,5,15
1984,16,8,5,29
1985,17,7,2,26
1986,10,10,3,23
1987,9,7,1,17
1988,12,8,1,21
1989,12,8,3,23
1990,8,8,1,17
1991,9,7,0,16
1992,5,6,2,13
1993,5,3,2,10
1994,1,3,3,7
1995,3,3,3,9
1996,1,8,4,13
1997,1,2,4,7
1998,0,2,0,2
