"","x"
"lk.ATVN",0
"lk.ATVS",0.248141056563327
"lk.ATV",0.976988922012424
"lk.ATUVN",1.99711203967854
"lk.ATUVS",2.24522123298266
"lk.ATUV",2.96048846845497
"lk.ATVG",4.26298038649384
"lk.ATN",6.16457621794689
"lk.ATUVG",6.24514855240159
"lk.ATS",6.39518705641967
"lk.ATUN",8.10396536716235
"lk.ATUS",8.33345382016705
"lk.AT",8.66524840702732
"lk.AVN",8.78799260954838
"lk.AVS",8.9487273827217
"lk.AV",9.54391444028261
"lk.ATU",10.5606494663298
"lk.AUVN",10.7858565494807
"lk.AUVS",10.946593357351
"lk.ATG",11.3466718847449
"lk.AUV",11.5432137379812
"lk.AVG",12.9925058337594
"lk.ATUG",13.2279488510421
"lk.AN",14.0236295470422
"lk.AS",14.1825046905788
"lk.AUVG",14.9919029306475
"lk.AUN",16.0031703803797
"lk.AUS",16.1616529515668
"lk.A",16.1845219798797
"lk.AU",18.1369763943858
"lk.AG",19.1734457167076
"lk.AUG",21.120339657703
