"nll","delAIC","modname","parname","value","low","high"
3226.05884642953,8.66524840702732,"AT","rAV",1.37791993341921,1.13,1.67
3225.39955816839,11.3466718847449,"ATG","rAV",1.3854094765756,1.135,1.68
3222.80851033499,6.16457621794689,"ATN","rAV",1.38568975660541,1.135,1.68
3222.92381575422,6.39518705641967,"ATS","rAV",1.38385315047071,1.135,1.68
3226.00654695918,10.5606494663298,"ATU","rAV",1.37972526560758,1.13,1.675
3225.34019665154,13.2279488510421,"ATUG","rAV",1.38749775140317,1.135,1.685
3222.7782049096,8.10396536716235,"ATUN","rAV",1.38721220739228,1.135,1.68
3222.8929491361,8.33345382016705,"ATUS","rAV",1.38505515881474,1.135,1.68
3220.20646646024,2.96048846845497,"ATUV","rAV",1.40301646771435,1.15,1.7
3219.84879650222,6.24514855240159,"ATUVG","rAV",1.4071952559091,1.155,1.705
3217.72477824585,1.99711203967854,"ATUVN","rAV",1.40767096972187,1.155,1.705
3217.84883284251,2.24522123298266,"ATUVS","rAV",1.4055488786555,1.15,1.705
3220.21471668702,0.976988922012424,"ATV","rAV",1.40232330316686,1.15,1.7
3219.85771241926,4.26298038649384,"ATVG","rAV",1.4065500204492,1.15,1.705
3217.72622222602,0,"ATVN","rAV",1.40758787656703,1.155,1.705
3217.8502927543,0.248141056563327,"ATVS","rAV",1.40521409125859,1.15,1.705
3226.00654695918,10.5606494663298,"ATU","rDX",0.975727579090481,0.84,1.14
3225.34019665154,13.2279488510421,"ATUG","rDX",0.974087916305917,0.84,1.14
3222.7782049096,8.10396536716235,"ATUN","rDX",0.981406882299131,0.845,1.15
3222.8929491361,8.33345382016705,"ATUS","rDX",0.981243539204651,0.845,1.15
3220.20646646024,2.96048846845497,"ATUV","rDX",0.990201519530785,0.85,1.16
3219.84879650222,6.24514855240159,"ATUVG","rDX",0.989841388730867,0.85,1.16
3217.72477824585,1.99711203967854,"ATUVN","rDX",0.995969571086789,0.855,1.165
3217.84883284251,2.24522123298266,"ATUVS","rDX",0.995802568687883,0.855,1.165
3230.79471042321,18.1369763943858,"AU","rDX",0.983607612750973,0.845,1.15
3230.28639205487,21.120339657703,"AUG","rDX",0.982640450165764,0.845,1.15
3227.7278074162,16.0031703803797,"AUN","rDX",0.989227051192481,0.85,1.155
3227.8070487018,16.1616529515668,"AUS","rDX",0.989087207197621,0.85,1.155
3225.49782909501,11.5432137379812,"AUV","rDX",0.997874433490091,0.86,1.165
3225.22217369134,14.9919029306475,"AUVG","rDX",0.998165338629117,0.86,1.17
3223.11915050076,10.7858565494807,"AUVN","rDX",1.00362537805959,0.865,1.175
3223.19951890469,10.946593357351,"AUVS","rDX",1.00343848088141,0.865,1.175
3220.20646646024,2.96048846845497,"ATUV","rVX.H1",0.618439323366204,0.44,0.85
3219.84879650222,6.24514855240159,"ATUVG","rVX.H1",0.631026683405424,0.45,0.87
3217.72477824585,1.99711203967854,"ATUVN","rVX.H1",0.648401730203511,0.465,0.89
3217.84883284251,2.24522123298266,"ATUVS","rVX.H1",0.649144895915007,0.465,0.89
3220.21471668702,0.976988922012424,"ATV","rVX.H1",0.618145997608539,0.44,0.85
3219.85771241926,4.26298038649384,"ATVG","rVX.H1",0.630577338263963,0.45,0.865
3217.72622222602,0,"ATVN","rVX.H1",0.64810090661677,0.465,0.89
3217.8502927543,0.248141056563327,"ATVS","rVX.H1",0.649049639151033,0.46,0.89
3225.49782909501,11.5432137379812,"AUV","rVX.H1",0.633460641748192,0.455,0.865
3225.22217369134,14.9919029306475,"AUVG","rVX.H1",0.643659125857785,0.46,0.885
3223.11915050076,10.7858565494807,"AUVN","rVX.H1",0.663609413404991,0.475,0.91
3223.19951890469,10.946593357351,"AUVS","rVX.H1",0.663922213798407,0.475,0.91
3225.49817944616,9.54391444028261,"AV","rVX.H1",0.633288880991803,0.455,0.865
3225.22247514289,12.9925058337594,"AVG","rVX.H1",0.643467844421524,0.46,0.885
3223.12021853079,8.78799260954838,"AVN","rVX.H1",0.663566284102751,0.475,0.91
3223.20058591738,8.9487273827217,"AVS","rVX.H1",0.663962362518435,0.475,0.91
3220.20646646024,2.96048846845497,"ATUV","rVX.H3",0.856285559071696,0.68,1.075
3219.84879650222,6.24514855240159,"ATUVG","rVX.H3",0.845275391375866,0.665,1.065
3217.72477824585,1.99711203967854,"ATUVN","rVX.H3",0.84119927477946,0.665,1.06
3217.84883284251,2.24522123298266,"ATUVS","rVX.H3",0.839605428740497,0.665,1.06
3220.21471668702,0.976988922012424,"ATV","rVX.H3",0.855239814887793,0.675,1.075
3219.85771241926,4.26298038649384,"ATVG","rVX.H3",0.844252876544428,0.665,1.065
3217.72622222602,0,"ATVN","rVX.H3",0.840804679109373,0.665,1.06
3217.8502927543,0.248141056563327,"ATVS","rVX.H3",0.83910552251756,0.665,1.055
3225.49782909501,11.5432137379812,"AUV","rVX.H3",0.85824598617073,0.68,1.08
3225.22217369134,14.9919029306475,"AUVG","rVX.H3",0.848971609394014,0.67,1.07
