Country,Year,Week,AH1,AH1N12009,AH3
Argentina,2009,1,0,,0
Argentina,2009,2,0,,0
Argentina,2009,3,0,,0
Argentina,2009,4,0,,0
Argentina,2009,5,0,,0
Argentina,2009,6,0,,0
Argentina,2009,7,0,,0
Argentina,2009,8,0,,0
Argentina,2009,9,0,,0
Argentina,2009,10,0,,0
Argentina,2009,11,0,,0
Argentina,2009,13,0,0,0
Argentina,2009,14,0,0,0
Argentina,2009,15,0,0,0
Argentina,2009,16,0,0,0
Argentina,2009,17,0,,0
Argentina,2009,18,0,0,0
Argentina,2009,19,0,1,0
Argentina,2009,20,1,0,0
Argentina,2009,21,3,127,0
Argentina,2009,22,3,17,0
Argentina,2009,23,1,32,0
Argentina,2009,24,6,525,0
Argentina,2009,25,5,702,0
Argentina,2009,26,7,2125,5
Argentina,2009,27,16,3092,5
Argentina,2009,28,10,1485,5
Argentina,2009,29,2,667,0
Argentina,2009,30,1,216,0
Argentina,2009,31,2,137,2
Argentina,2009,32,6,89,0
Argentina,2009,33,0,65,0
Argentina,2009,34,1,75,0
Argentina,2009,35,5,53,0
Argentina,2009,36,3,12,0
Argentina,2009,37,3,20,0
Argentina,2009,38,2,9,0
Argentina,2009,39,0,9,0
Argentina,2009,40,0,3,0
Argentina,2009,41,0,5,0
Argentina,2009,42,0,9,0
Argentina,2009,43,0,3,0
Argentina,2009,44,0,2,0
Argentina,2009,45,0,2,0
Argentina,2009,46,0,6,0
Argentina,2009,47,0,9,0
Argentina,2009,48,0,3,0
Argentina,2009,49,0,3,0
Argentina,2009,50,0,7,0
Argentina,2009,51,0,2,0
Argentina,2009,52,0,2,0
Argentina,2010,1,0,1,1
Argentina,2010,2,0,5,0
Argentina,2010,3,0,4,1
Argentina,2010,4,0,1,0
Argentina,2010,5,0,1,1
Argentina,2010,6,0,0,0
Argentina,2010,7,0,0,0
Argentina,2010,8,0,0,0
Argentina,2010,9,0,0,0
Argentina,2010,10,0,0,1
Argentina,2010,11,0,0,0
Argentina,2010,12,0,2,4
Argentina,2010,13,0,1,5
Argentina,2010,14,0,0,6
Argentina,2010,15,0,1,5
Argentina,2010,16,0,0,5
Argentina,2010,17,0,0,4
Argentina,2010,18,0,4,0
Argentina,2010,19,0,5,0
Argentina,2010,20,0,0,0
Argentina,2010,21,0,0,0
Argentina,2010,22,0,1,0
Argentina,2010,23,0,0,0
Argentina,2010,24,0,0,0
Argentina,2010,25,0,0,0
Argentina,2010,26,0,1,0
Argentina,2010,27,0,3,0
Argentina,2010,28,0,0,0
Argentina,2010,29,0,3,1
Argentina,2010,30,0,0,1
Argentina,2010,31,0,0,0
Argentina,2010,32,0,0,0
Argentina,2010,33,0,0,0
Argentina,2010,34,0,0,1
Argentina,2010,35,0,1,3
Argentina,2010,36,0,0,3
Argentina,2010,37,0,0,11
Argentina,2010,38,0,0,15
Argentina,2010,39,0,0,19
Argentina,2010,40,0,0,8
Argentina,2010,41,1,1,7
Argentina,2010,42,0,0,11
Argentina,2010,43,0,0,7
Argentina,2010,44,0,0,10
Argentina,2010,45,0,0,0
Argentina,2010,46,0,0,7
Argentina,2010,47,0,0,3
Argentina,2010,48,0,0,0
Argentina,2010,49,0,0,0
Argentina,2010,50,0,0,1
Argentina,2010,51,0,0,1
Argentina,2010,52,0,0,0
Argentina,2011,1,0,3,1
Argentina,2011,2,0,1,3
Argentina,2011,3,0,0,1
Argentina,2011,4,0,0,4
Argentina,2011,5,0,0,1
Argentina,2011,6,0,0,0
Argentina,2011,7,0,0,5
Argentina,2011,8,0,0,1
Argentina,2011,9,0,1,3
Argentina,2011,10,0,0,0
Argentina,2011,11,0,0,0
Argentina,2011,12,0,0,0
Argentina,2011,13,0,0,0
Argentina,2011,14,0,0,0
Argentina,2011,15,0,0,1
Argentina,2011,16,0,0,0
Argentina,2011,17,0,0,0
Argentina,2011,18,0,0,1
Argentina,2011,19,0,2,4
Argentina,2011,20,0,1,4
Argentina,2011,21,0,6,3
Argentina,2011,22,0,12,8
Argentina,2011,23,0,20,5
Argentina,2011,24,0,33,10
Argentina,2011,25,0,29,14
Argentina,2011,26,0,15,23
Argentina,2011,27,0,10,37
Argentina,2011,28,0,3,84
Argentina,2011,29,0,6,88
Argentina,2011,30,0,3,69
Argentina,2011,31,0,2,51
Argentina,2011,32,0,7,78
Argentina,2011,33,0,5,82
Argentina,2011,34,0,2,80
Argentina,2011,35,0,10,66
Argentina,2011,36,0,12,50
Argentina,2011,37,0,22,26
Argentina,2011,38,0,15,24
Argentina,2011,39,0,2,23
Argentina,2011,40,0,8,12
Argentina,2011,41,0,4,0
Argentina,2011,42,0,4,2
Argentina,2011,43,0,3,0
Argentina,2011,44,0,1,1
Argentina,2011,45,0,0,0
Argentina,2011,46,0,2,0
Argentina,2011,47,0,0,0
Argentina,2011,48,0,0,0
Argentina,2011,49,0,0,0
Argentina,2011,50,0,0,0
Argentina,2011,51,0,0,0
Argentina,2011,52,0,0,0
Argentina,2012,1,0,0,0
Argentina,2012,2,0,0,0
Argentina,2012,3,0,0,0
Argentina,2012,4,0,1,0
Argentina,2012,5,0,0,0
Argentina,2012,6,0,0,1
Argentina,2012,7,0,0,0
Argentina,2012,8,0,1,0
Argentina,2012,9,0,4,1
Argentina,2012,10,0,0,0
Argentina,2012,11,0,0,0
Argentina,2012,12,0,0,0
Argentina,2012,13,0,0,0
Argentina,2012,14,0,0,0
Argentina,2012,15,0,0,0
Argentina,2012,16,0,1,0
Argentina,2012,17,0,0,0
Argentina,2012,18,0,0,0
Argentina,2012,19,0,0,0
Argentina,2012,20,0,0,1
Argentina,2012,21,0,0,1
Argentina,2012,22,0,0,0
Argentina,2012,23,0,4,0
Argentina,2012,24,0,0,0
Argentina,2012,25,0,1,2
Argentina,2012,26,0,1,0
Argentina,2012,27,0,3,0
Argentina,2012,28,0,20,1
Argentina,2012,29,0,18,2
Argentina,2012,30,0,31,2
Argentina,2012,31,0,29,4
Argentina,2012,32,0,36,2
Argentina,2012,33,0,52,5
Argentina,2012,34,0,61,17
Argentina,2012,35,0,77,20
Argentina,2012,36,0,69,18
Argentina,2012,37,0,46,30
Argentina,2012,38,0,39,30
Argentina,2012,39,0,13,30
Argentina,2012,40,0,14,16
Argentina,2012,41,0,6,15
Argentina,2012,42,0,4,5
Argentina,2012,43,0,3,5
Argentina,2012,44,0,0,6
Argentina,2012,45,0,0,16
Argentina,2012,46,0,1,7
Argentina,2012,47,0,0,0
Argentina,2012,48,0,0,1
Argentina,2012,49,0,0,9
Argentina,2012,50,0,0,0
Argentina,2012,51,0,0,0
Argentina,2012,52,0,0,1
Argentina,2013,1,0,0,3
Argentina,2013,2,0,0,1
Argentina,2013,3,0,0,0
Argentina,2013,4,0,0,1
Argentina,2013,5,0,0,6
Argentina,2013,6,0,5,9
Argentina,2013,7,0,2,1
Argentina,2013,8,0,6,0
Argentina,2013,9,0,3,1
Argentina,2013,10,0,2,0
Argentina,2013,11,0,2,0
Argentina,2013,12,0,5,0
Argentina,2013,13,0,0,1
Argentina,2013,14,0,0,2
Argentina,2013,15,0,0,4
Argentina,2013,16,0,0,2
Argentina,2013,17,0,4,1
Argentina,2013,18,0,2,0
Argentina,2013,19,0,10,0
Argentina,2013,20,0,10,0
Argentina,2013,21,0,38,6
Argentina,2013,22,0,80,14
Argentina,2013,23,0,181,24
Argentina,2013,24,0,476,88
Argentina,2013,25,0,397,67
Argentina,2013,26,0,521,105
Argentina,2013,27,0,462,118
Argentina,2013,28,0,327,93
Argentina,2013,29,0,238,118
Argentina,2013,30,0,144,95
Argentina,2013,31,0,95,76
Argentina,2013,32,0,46,29
Argentina,2013,33,0,18,23
Argentina,2013,34,0,27,26
Argentina,2013,35,0,23,28
Argentina,2013,36,0,5,24
Argentina,2013,37,0,10,15
Argentina,2013,38,0,1,11
Argentina,2013,39,0,0,8
Argentina,2013,40,0,1,9
Argentina,2013,41,0,0,11
Argentina,2013,42,0,0,4
Argentina,2013,43,0,0,2
Argentina,2013,44,0,0,3
Argentina,2013,45,0,0,0
Argentina,2013,46,0,0,2
Argentina,2013,47,0,0,2
Argentina,2013,48,0,0,0
Argentina,2013,49,0,0,0
Argentina,2013,50,0,0,0
Argentina,2013,51,0,0,0
Argentina,2013,52,0,1,0
Argentina,2014,1,0,0,0
Argentina,2014,2,0,0,0
Argentina,2014,3,0,1,0
Argentina,2014,4,0,0,0
Argentina,2014,5,0,0,0
Argentina,2014,6,0,0,0
Argentina,2014,7,0,1,0
Argentina,2014,8,0,1,1
Argentina,2014,9,0,0,0
Argentina,2014,10,0,0,0
Argentina,2014,11,0,0,0
Argentina,2014,12,0,0,0
Argentina,2014,13,0,0,0
Argentina,2014,14,0,0,1
Argentina,2014,15,0,0,0
Argentina,2014,16,0,0,0
Argentina,2014,17,0,1,0
Argentina,2014,18,0,0,1
Argentina,2014,19,0,0,1
Argentina,2014,20,0,1,1
Argentina,2014,21,0,0,1
Argentina,2014,22,0,1,5
Argentina,2014,23,0,0,10
Argentina,2014,24,0,2,14
Argentina,2014,25,0,0,35
Argentina,2014,26,0,0,65
Argentina,2014,27,0,2,141
Argentina,2014,28,0,0,129
Argentina,2014,29,0,1,153
Argentina,2014,30,0,3,113
Argentina,2014,31,0,2,86
Argentina,2014,32,0,0,74
Argentina,2014,33,0,0,73
Argentina,2014,34,0,0,55
Argentina,2014,35,0,0,37
Argentina,2014,36,0,0,27
Argentina,2014,37,0,0,31
Argentina,2014,38,0,0,13
Argentina,2014,39,0,0,14
Argentina,2014,40,0,0,18
Argentina,2014,41,0,0,15
Argentina,2014,42,0,0,1
Argentina,2014,43,0,0,3
Argentina,2014,44,0,0,1
Argentina,2014,45,0,0,0
Argentina,2014,46,0,0,0
Argentina,2014,47,0,0,1
Argentina,2014,48,0,0,0
Argentina,2014,49,0,0,0
Argentina,2014,50,0,0,0
Argentina,2014,51,0,0,0
Argentina,2014,52,0,0,0
Argentina,2015,1,0,0,0
Argentina,2015,2,0,0,0
Argentina,2015,3,0,0,0
Argentina,2015,4,0,0,0
Argentina,2015,5,0,0,0
Argentina,2015,6,0,0,0
Argentina,2015,7,0,0,0
Argentina,2015,8,0,0,0
Argentina,2015,9,0,0,0
Argentina,2015,10,0,1,0
Argentina,2015,11,0,0,0
Argentina,2015,12,0,0,0
Argentina,2015,13,0,0,0
Argentina,2015,14,0,0,0
Argentina,2015,15,0,0,0
