"","A","AN","AS","AG"
"rPro.H1","NA (NA-NA)","0.34 (0.29-0.42)","0.29 (0.24-0.35)","0.67 (0.58-0.78)"
"rPro.H3","NA (NA-NA)","0.71 (0.62-0.82)","0.9 (0.78-2)","0.69 (0.6-0.8)"
"r5.10","0.62 (0.57-0.68)","0.68 (0.63-0.74)","0.66 (0.61-0.72)","0.66 (0.62-0.72)"
"r11.17","0.3 (0.28-0.34)","0.33 (0.3-0.36)","0.31 (0.28-0.34)","0.33 (0.3-0.37)"
"r18.24","0.35 (0.32-0.39)","0.38 (0.35-0.42)","0.36 (0.32-0.4)","0.39 (0.35-0.43)"
"r25.31","0.31 (0.28-0.35)","0.34 (0.32-0.38)","0.33 (0.3-0.37)","0.34 (0.31-0.38)"
"r32.38","0.26 (0.24-0.29)","0.28 (0.26-0.32)","0.26 (0.24-0.3)","0.28 (0.26-0.32)"
"r39.45","0.21 (0.2-0.24)","0.23 (0.2-0.27)","0.21 (0.18-0.24)","0.24 (0.22-0.28)"
"r46.52","0.23 (0.2-0.26)","0.24 (0.22-0.28)","0.21 (0.19-0.24)","0.24 (0.22-0.28)"
"r53.59","0.2 (0.18-0.23)","0.22 (0.2-0.26)","0.2 (0.18-0.23)","0.2 (0.18-0.24)"
"r60.66","0.18 (0.16-0.21)","0.21 (0.19-0.24)","0.22 (0.2-0.26)","0.19 (0.16-0.22)"
"r67.73","0.19 (0.18-0.22)","0.22 (0.2-0.26)","0.25 (0.22-0.29)","0.2 (0.18-0.23)"
"r74.80","0.2 (0.18-0.23)","0.23 (0.2-0.26)","0.25 (0.22-0.3)","0.2 (0.18-0.24)"
"r81.90p","0.13 (0.12-0.15)","0.15 (0.14-0.18)","0.17 (0.15-0.2)","0.13 (0.12-0.16)"
