Strain	Accession	Date	Region	Country	Division	Authors	Journal	Title	Url	CTiter	CTiterSub	Clade Membership	Clock Length	DTiter	DTiterSub	Ep	Lbi	Ne	Num Date	Raw Date
A/California/VRDL87/2009	EPI258534	2009-10-09	North America	USA	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.00	2.00	2009.77	2009-10-09
A/SantoDomingo/WRAIR1414N/2009	EPI282658	2009-10-16	South America	Brazil	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.00	6.00	2009.79	2009-10-16
A/Ghana/FS/10-4400/2010	EPI301413	2010-09-08	Africa	Ghana	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.00	2.00	2010.69	2010-09-08
A/Dakar/WRAIR0019T/2010	EPI308005	2010-01-26	Africa	Senegal	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.00	4.00	2010.07	2010-01-26
A/Dakar/11/2011	EPI346683	2011-04-06	Africa	Senegal	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.03	Unassigned	0.00	0.00	0.03	0.00	0.00	6.00	2011.26	2011-04-06
A/Dakar/18/2011	EPI346685	2011-07-07	Africa	Senegal	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.00	5.00	2011.51	2011-07-07
A/Dakar/29/2011	EPI358060	2011-09-15	Africa	Senegal	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.00	7.00	2011.71	2011-09-15
A/Dakar/3/2012	EPI405796	2012-03-23	Africa	Senegal	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.00	9.00	2012.23	2012-03-23
A/Ghana/FS-0895/2012	EPI417130	2012-07-14	Africa	Ghana	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.00	9.00	2012.53	2012-07-13
A/BurkinaFaso/876/2013	EPI482162	2013-02-25	Africa	Burkina Faso	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.00	9.00	2013.16	2013-02-26
A/Gambia/G0070536/2012	EPI539482	2012-11-12	Africa	Gambia	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.00	8.00	2012.87	2012-11-12
A/Dakar/20/2012	EPI417122	2012-12-10	Africa	Senegal	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.00	8.00	2012.94	2012-12-09
A/Managua/125604/2009	EPI283218	2009-08-03	North America	Nicaragua	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.00	0.00	2009.59	2009-08-04
A/Managua/98901/2009	EPI249662	2009-08-18	North America	Nicaragua	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.00	0.00	2009.63	2009-08-18
A/Philippines/2001/2009	EPI181869	2009-05-20	Southeast Asia	Philippines	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.01	0.00	2009.38	2009-05-20
A/Mexico/24052/2009	EPI464236	2009-04-27	North America	Mexico	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.02	2.00	2009.32	2009-04-27
A/Israel/644/2009	EPI178476	2009-04-29	West Asia	Israel	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.02	2.00	2009.33	2009-04-XX
A/California/5/2009	EPI176493	2009-03-30	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.03	2.00	2009.24	2009-03-30
A/Himeji/1/2009	EPI182860	2009-05-17	Japan Korea	Japan	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.01	1.00	2009.38	2009-05-18
A/England/204/2009	EPI240436	2009-04-01	Europe	United Kingdom	unknown	Microbiology Services Colindale Public Health England	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.03	1.00	2009.25	2009-04-XX
A/Auckland/4/2009	EPI178472	2009-04-29	Oceania	New Zealand	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.02	2.00	2009.33	2009-04-XX
A/Utsunomiya/2/2009	EPI184971	2009-06-16	Japan Korea	Japan	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	1.00	2009.46	2009-06-16
A/Austria/503100/2009	EPI211659	2009-07-14	Europe	Austria	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.01	1.00	2009.53	2009-07-14
A/Auckland/3/2009	EPI179603	2009-04-25	Oceania	New Zealand	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.02	1.00	2009.31	2009-04-25
A/EasternIndia/330/2009	EPI292103	2009-08-10	South Asia	India	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.01	3.00	2009.61	2009-08-XX
A/Taiwan/98158/2009	EPI382296	2009-08-10	China	Taiwan	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	0.00	0.01	3.00	2009.61	2009-08-XX
A/California/WR1313P/2009	EPI277681	2009-07-08	North America	USA	unknown	Other Database Import	unknown	unknown	unknown	0.00	0.00	Unassigned	0.00	0.00	0.00	1.00	0.01	7.00	2009.52	2009-07-08
