Accession,Length,Host,Protein,Subtype,Country,Region,Month,Day,Year,Virus,Age,BirthYear
ABA26782,230,Human,NS1,H3N2,New Zealand,S,10,12,2004,Influenza A virus (A/Ashburton/280/2004(H3N2))XX,27,1977
ABA26785,757,Human,PB1,H3N2,New Zealand,S,10,12,2004,Influenza A virus (A/Ashburton/280/2004(H3N2))XX,27,1977
ABU80177,566,Human,HA,H3N2,New Zealand,S,2,12,2000,Influenza A virus (A/Auckland/583/2000(H3N2))XX,5,1995
ABU80180,469,Human,NA,H3N2,New Zealand,S,2,12,2000,Influenza A virus (A/Auckland/583/2000(H3N2))XX,5,1995
ABU80185,757,Human,PB1,H3N2,New Zealand,S,2,12,2000,Influenza A virus (A/Auckland/583/2000(H3N2))XX,5,1995
ABU80187,759,Human,PB2,H3N2,New Zealand,S,2,12,2000,Influenza A virus (A/Auckland/583/2000(H3N2))XX,5,1995
ABR28790,566,Human,HA,H3N2,New Zealand,S,9,25,2000,Influenza A virus (A/Auckland/588/2000(H3N2))XX,54,1946
ABR28820,757,Human,PB1,H3N2,New Zealand,S,10,9,2000,Influenza A virus (A/Auckland/593/2000(H3N2))XX,51,1949
ABS49998,566,Human,HA,H3N2,New Zealand,S,10,30,2000,Influenza A virus (A/Auckland/596/2000(H3N2))XX,53,1947
ABS50003,230,Human,NS1,H3N2,New Zealand,S,10,30,2000,Influenza A virus (A/Auckland/596/2000(H3N2))XX,53,1947
ABS50005,716,Human,PA,H3N2,New Zealand,S,10,30,2000,Influenza A virus (A/Auckland/596/2000(H3N2))XX,53,1947
ABS50006,757,Human,PB1,H3N2,New Zealand,S,10,30,2000,Influenza A virus (A/Auckland/596/2000(H3N2))XX,53,1947
ABU80320,566,Human,HA,H3N2,New Zealand,S,10,9,2000,Influenza A virus (A/Auckland/598/2000(H3N2))XX,24,1976
ABS50009,566,Human,HA,H3N2,New Zealand,S,9,22,2000,Influenza A virus (A/Auckland/599/2000(H3N2))XX,37,1963
ABS50017,757,Human,PB1,H3N2,New Zealand,S,9,22,2000,Influenza A virus (A/Auckland/599/2000(H3N2))XX,37,1963
ABS50020,566,Human,HA,H3N2,New Zealand,S,5,6,2000,Influenza A virus (A/Auckland/600/2000(H3N2))XX,8,1992
ABS50023,469,Human,NA,H3N2,New Zealand,S,5,6,2000,Influenza A virus (A/Auckland/600/2000(H3N2))XX,8,1992
ABS50025,230,Human,NS1,H3N2,New Zealand,S,5,6,2000,Influenza A virus (A/Auckland/600/2000(H3N2))XX,8,1992
ABS50031,566,Human,HA,H3N2,New Zealand,S,9,11,2000,Influenza A virus (A/Auckland/601/2000(H3N2))XX,9,1991
ABS50038,716,Human,PA,H3N2,New Zealand,S,9,11,2000,Influenza A virus (A/Auckland/601/2000(H3N2))XX,9,1991
ABR28823,566,Human,HA,H3N2,New Zealand,S,8,19,2001,Influenza A virus (A/Auckland/602/2001(H3N2))XX,24,1977
ABR28831,757,Human,PB1,H3N2,New Zealand,S,8,19,2001,Influenza A virus (A/Auckland/602/2001(H3N2))XX,24,1977
ABR28833,759,Human,PB2,H3N2,New Zealand,S,8,19,2001,Influenza A virus (A/Auckland/602/2001(H3N2))XX,24,1977
ABS50045,469,Human,NA,H3N2,New Zealand,S,10,2,2001,Influenza A virus (A/Auckland/603/2001(H3N2))XX,6,1995
ABS50049,716,Human,PA,H3N2,New Zealand,S,10,2,2001,Influenza A virus (A/Auckland/603/2001(H3N2))XX,6,1995
ABS50052,759,Human,PB2,H3N2,New Zealand,S,10,2,2001,Influenza A virus (A/Auckland/603/2001(H3N2))XX,6,1995
ABS50058,230,Human,NS1,H3N2,New Zealand,S,9,28,2001,Influenza A virus (A/Auckland/604/2001(H3N2))XX,25,1976
ABS50062,90,Human,PB1-F2,H3N2,New Zealand,S,9,28,2001,Influenza A virus (A/Auckland/604/2001(H3N2))XX,25,1976
ABR15929,566,Human,HA,H3N2,New Zealand,S,8,15,2001,Influenza A virus (A/Auckland/607/2001(H3N2))XX,58,1943
ABR15932,469,Human,NA,H3N2,New Zealand,S,8,15,2001,Influenza A virus (A/Auckland/607/2001(H3N2))XX,58,1943
ABR15934,230,Human,NS1,H3N2,New Zealand,S,8,15,2001,Influenza A virus (A/Auckland/607/2001(H3N2))XX,58,1943
ABR15936,716,Human,PA,H3N2,New Zealand,S,8,15,2001,Influenza A virus (A/Auckland/607/2001(H3N2))XX,58,1943
ABR15939,759,Human,PB2,H3N2,New Zealand,S,8,15,2001,Influenza A virus (A/Auckland/607/2001(H3N2))XX,58,1943
ABR28856,566,Human,HA,H3N2,New Zealand,S,6,8,2002,Influenza A virus (A/Auckland/608/2002(H3N2))XX,45,1957
