Acession, Length, Host, Protein, Subtype, Country, Region, Year, Month, Day, Virus, Age
ABA26782,230,Human,NS1,H3N2,New Zealand,S,2004,10,12,Influenza A virus (A/Ashburton/280/2004(H3N2))XX,27
ABA26782,230,Human,NS1,H3N2,New Zealand,S,2004,10,12,Influenza A virus (A/Ashburton/280/2004(H3N2))XX,27
ABA26785,757,Human,PB1,H3N2,New Zealand,S,2004,10,12,Influenza A virus (A/Ashburton/280/2004(H3N2))XX,27
ABA26785,757,Human,PB1,H3N2,New Zealand,S,2004,10,12,Influenza A virus (A/Ashburton/280/2004(H3N2))XX,27
ABU80177,566,Human,HA,H3N2,New Zealand,S,2000,02,12,Influenza A virus (A/Auckland/583/2000(H3N2))XX,5
ABU80177,566,Human,HA,H3N2,New Zealand,S,2000,02,12,Influenza A virus (A/Auckland/583/2000(H3N2))XX,5
ABU80180,469,Human,NA,H3N2,New Zealand,S,2000,02,12,Influenza A virus (A/Auckland/583/2000(H3N2))XX,5
ABU80180,469,Human,NA,H3N2,New Zealand,S,2000,02,12,Influenza A virus (A/Auckland/583/2000(H3N2))XX,5
ABU80185,757,Human,PB1,H3N2,New Zealand,S,2000,02,12,Influenza A virus (A/Auckland/583/2000(H3N2))XX,5
ABU80185,757,Human,PB1,H3N2,New Zealand,S,2000,02,12,Influenza A virus (A/Auckland/583/2000(H3N2))XX,5
ABU80187,759,Human,PB2,H3N2,New Zealand,S,2000,02,12,Influenza A virus (A/Auckland/583/2000(H3N2))XX,5
ABU80187,759,Human,PB2,H3N2,New Zealand,S,2000,02,12,Influenza A virus (A/Auckland/583/2000(H3N2))XX,5
ABR28790,566,Human,HA,H3N2,New Zealand,S,2000,09,25,Influenza A virus (A/Auckland/588/2000(H3N2))XX,54
ABR28790,566,Human,HA,H3N2,New Zealand,S,2000,09,25,Influenza A virus (A/Auckland/588/2000(H3N2))XX,54
ABR28820,757,Human,PB1,H3N2,New Zealand,S,2000,10,09,Influenza A virus (A/Auckland/593/2000(H3N2))XX,51
ABR28820,757,Human,PB1,H3N2,New Zealand,S,2000,10,09,Influenza A virus (A/Auckland/593/2000(H3N2))XX,51
ABS49998,566,Human,HA,H3N2,New Zealand,S,2000,10,30,Influenza A virus (A/Auckland/596/2000(H3N2))XX,53
ABS49998,566,Human,HA,H3N2,New Zealand,S,2000,10,30,Influenza A virus (A/Auckland/596/2000(H3N2))XX,53
ABS50003,230,Human,NS1,H3N2,New Zealand,S,2000,10,30,Influenza A virus (A/Auckland/596/2000(H3N2))XX,53
ABS50003,230,Human,NS1,H3N2,New Zealand,S,2000,10,30,Influenza A virus (A/Auckland/596/2000(H3N2))XX,53
ABS50005,716,Human,PA,H3N2,New Zealand,S,2000,10,30,Influenza A virus (A/Auckland/596/2000(H3N2))XX,53
ABS50005,716,Human,PA,H3N2,New Zealand,S,2000,10,30,Influenza A virus (A/Auckland/596/2000(H3N2))XX,53
ABS50006,757,Human,PB1,H3N2,New Zealand,S,2000,10,30,Influenza A virus (A/Auckland/596/2000(H3N2))XX,53
ABS50006,757,Human,PB1,H3N2,New Zealand,S,2000,10,30,Influenza A virus (A/Auckland/596/2000(H3N2))XX,53
